indicator_id,component,component_name,subcomponent,subcomponent_name,topic,topic_name,subtopic,subtopic_name,statistic_num,statistic_name,category_of_measurement
2.2.1.a.8,2,Environmental Resources and their Use,2.2,Energy Resources,2.2.1,Stocks and changes of  energy resources,a,Energy resources,8,Downward reclassifications,"Mass, Volume"
2.2.1.a.9,2,Environmental Resources and their Use,2.2,Energy Resources,2.2.1,Stocks and changes of  energy resources,a,Energy resources,9,Stocks of potentially commercially recoverable resources,"Mass, Volume"
2.2.1.a.10,2,Environmental Resources and their Use,2.2,Energy Resources,2.2.1,Stocks and changes of  energy resources,a,Energy resources,10,Stocks of non-commercial and other known resources,"Mass, Volume"
2.2.2.a.1,2,Environmental Resources and their Use,2.2,Energy Resources,2.2.2,"Production, trade and consumption of energy",a,Production of energy,1,Total production,"Energy unit, Mass, Volume"
2.2.2.a.2,2,Environmental Resources and their Use,2.2,Energy Resources,2.2.2,"Production, trade and consumption of energy",a,Production of energy,2,Production from non-renewable sources,"Energy unit, Mass, Volume"
2.2.2.a.3,2,Environmental Resources and their Use,2.2,Energy Resources,2.2.2,"Production, trade and consumption of energy",a,Production of energy,3,Production from renewable sources,"Energy unit, Mass, Volume"
2.2.2.a.4,2,Environmental Resources and their Use,2.2,Energy Resources,2.2.2,"Production, trade and consumption of energy",a,Production of energy,4,Primary energy production,"Energy unit, Mass, Volume"
2.2.2.a.5,2,Environmental Resources and their Use,2.2,Energy Resources,2.2.2,"Production, trade and consumption of energy",a,Production of energy,5,Imports of energy,"Energy unit, Mass, Volume"
2.2.2.a.6,2,Environmental Resources and their Use,2.2,Energy Resources,2.2.2,"Production, trade and consumption of energy",a,Production of energy,6,Exports of energy,"Energy unit, Mass, Volume"
2.2.2.a.7,2,Environmental Resources and their Use,2.2,Energy Resources,2.2.2,"Production, trade and consumption of energy",a,Production of energy,7,Secondary energy production,"Energy unit, Mass, Volume"
2.2.2.b,2,Environmental Resources and their Use,2.2,Energy Resources,2.2.2,"Production, trade and consumption of energy",b,Total energy supply,NA,Total energy supply,"Energy unit, Mass, Volume"
2.2.2.c,2,Environmental Resources and their Use,2.2,Energy Resources,2.2.2,"Production, trade and consumption of energy",c,Final consumption of energy,NA,Final consumption of energy,"Energy unit, Mass, Volume"
2.3.1.a,2,Environmental Resources and their Use,2.3,Land,2.3.1,Land use,a,Area under land use categories,NA,Area under land use categories,Area
2.3.1.b.1,2,Environmental Resources and their Use,2.3,Land,2.3.1,Land use,b,Other aspects of land use,1,Area of land under organic farming,Area
2.3.1.b.2,2,Environmental Resources and their Use,2.3,Land,2.3.1,Land use,b,Other aspects of land use,2,Area of land under irrigation,Area
2.3.1.b.3,2,Environmental Resources and their Use,2.3,Land,2.3.1,Land use,b,Other aspects of land use,3,Area of land under sustainable forest management,Area
2.3.1.b.4,2,Environmental Resources and their Use,2.3,Land,2.3.1,Land use,b,Other aspects of land use,4,Area of land under agroforestry,Area
2.3.1.c,2,Environmental Resources and their Use,2.3,Land,2.3.1,Land use,c,Land ownership,NA,Land ownership,Area
2.3.2.a.1,2,Environmental Resources and their Use,2.3,Land,2.3.2,Use of forest land,a,Use of forest land,1,Area deforested,Area
2.3.2.a.2,2,Environmental Resources and their Use,2.3,Land,2.3.2,Use of forest land,a,Use of forest land,2,Area reforested,Area
2.3.2.a.3,2,Environmental Resources and their Use,2.3,Land,2.3.2,Use of forest land,a,Use of forest land,3,Area afforested,Area
2.3.2.a.4,2,Environmental Resources and their Use,2.3,Land,2.3.2,Use of forest land,a,Use of forest land,4,Natural growth,Area
2.3.2.b,2,Environmental Resources and their Use,2.3,Land,2.3.2,Use of forest land,b,Forest area by primary designated function,NA,Forest area by primary designated function,Area
2.5.1.a.1,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.1,Timber resources,a,Timber resources,1,Stocks of timber resources,Volume
2.5.1.a.2,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.1,Timber resources,a,Timber resources,2,Natural growth,Volume
2.5.1.a.3,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.1,Timber resources,a,Timber resources,3,Fellings,Volume
2.5.1.a.4,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.1,Timber resources,a,Timber resources,4,Removals,Volume
2.5.1.a.5,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.1,Timber resources,a,Timber resources,5,Felling residues,Volume
2.5.1.a.6,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.1,Timber resources,a,Timber resources,6,Natural losses,Volume
2.5.1.a.7,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.1,Timber resources,a,Timber resources,7,Catastrophic losses,Volume
2.5.1.a.8,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.1,Timber resources,a,Timber resources,8,Reclassifications,Volume
2.5.1.b.1,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.1,Timber resources,b,Amount used of:,1,Fertilizers (also in 3.4.1.a),"Area, Mass, Volume"
2.5.1.b.2,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.1,Timber resources,b,Amount used of:,2,Pesticides (also in 3.4.1.b),"Area, Mass, Volume"
2.5.1.c,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.1,Timber resources,c,Forest production,NA,Forest production,Volume
2.5.1.d,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.1,Timber resources,d,Fuelwood production,NA,Fuelwood production,Volume
2.5.1.e,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.1,Timber resources,e,Imports of forest products,NA,Imports of forest products,"Currency, Mass, Volume"
2.5.1.f,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.1,Timber resources,f,Exports of forest products,NA,Exports of forest products,"Currency, Mass, Volume"
2.5.2.a,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.2,Aquatic resources,a,Fish capture production,NA,Fish capture production,Mass
2.5.2.b,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.2,Aquatic resources,b,Aquaculture production,NA,Aquaculture production,Mass
2.5.2.c,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.2,Aquatic resources,c,Imports of fish and fishery products,NA,Imports of fish and fishery products,"Currency, Mass, Volume"
2.5.2.d,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.2,Aquatic resources,d,Exports of fish and fishery products,NA,Exports of fish and fishery products,"Currency, Mass, Volume"
2.5.2.e.1,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.2,Aquatic resources,e,Amount used of:,1,Pellets (also in 3.4.1.c),"Mass, Volume"
2.5.2.e.2,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.2,Aquatic resources,e,Amount used of:,2,Hormones (also in 3.4.1.d),"Mass, Volume"
2.5.2.e.3,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.2,Aquatic resources,e,Amount used of:,3,Colourants (also in 3.4.1.e),"Mass, Volume"
2.5.2.e.4,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.2,Aquatic resources,e,Amount used of:,4,Antibiotics (also in 3.4.1.f),"Mass, Volume"
2.5.2.e.5,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.2,Aquatic resources,e,Amount used of:,5,Fungicides,"Mass, Volume"
2.5.2.f.1,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.2,Aquatic resources,f,Aquatic resources,1,Stocks of aquatic resources,Mass
2.5.2.f.2,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.2,Aquatic resources,f,Aquatic resources,2,Additions to aquatic resources,Mass
2.5.2.f.3,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.2,Aquatic resources,f,Aquatic resources,3,Reductions in aquatic resources,Mass
2.5.3.a.1,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.3,Crops,a,Main annual and perennial crops,1,Area planted,Area
2.5.3.a.2,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.3,Crops,a,Main annual and perennial crops,2,Area harvested,Area
2.5.3.a.3,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.3,Crops,a,Main annual and perennial crops,3,Amount produced,Mass
2.5.3.a.4,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.3,Crops,a,Main annual and perennial crops,4,Amount of organic production,Mass
2.5.3.a.5,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.3,Crops,a,Main annual and perennial crops,5,Amount of genetically modified crops produced,Mass
2.5.3.b.1,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.3,Crops,b,Amount used of:,1,"Natural fertilizers (e.g., manure, compost, lime) (also in 3.4.1.a)","Area, Mass, Volume"
2.5.3.b.2,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.3,Crops,b,Amount used of:,2,Chemical fertilizers (also in 3.4.1.a),"Area, Mass, Volume"
2.5.3.b.3,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.3,Crops,b,Amount used of:,3,Pesticides (also in 3.4.1.b),"Area, Mass, Volume"
2.5.3.b.4,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.3,Crops,b,Amount used of:,4,Genetically modified seeds,Mass
2.5.3.c.1,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.3,Crops,c,Monoculture/ resource-intensive farming systems,1,Area being used for production,Area
2.5.3.c.2,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.3,Crops,c,Monoculture/ resource-intensive farming systems,2,Amount produced,Mass
2.5.3.c.3,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.3,Crops,c,Monoculture/ resource-intensive farming systems,3,Amount of genetically modified crops produced,Mass
2.5.3.d,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.3,Crops,d,Imports of crops,NA,Imports of crops,"Currency, Mass"
2.5.3.e,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.3,Crops,e,Exports of crops,NA,Exports of crops,"Currency, Mass"
2.5.4.a.1,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.4,Livestock,a,Livestock,1,Number of live animals,Number
2.5.4.a.2,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.4,Livestock,a,Livestock,2,Number of animals slaughtered,Number
2.5.4.b.1,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.4,Livestock,b,Amount used of:,1,Antibiotics (also in 3.4.1.f),Mass
2.5.4.b.2,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.4,Livestock,b,Amount used of:,2,Hormones (also in 3.4.1.d),Mass
2.5.4.c,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.4,Livestock,c,Imports of livestock,NA,Imports of livestock,"Currency, Number"
2.5.4.d,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.4,Livestock,d,Exports of livestock,NA,Exports of livestock,"Currency, Number"
2.5.5.a.1,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.5,Other non-cultivated biological resources,a,Permits for regulated hunting and trapping of wild animals,1,Number of permits issued per year,Number
2.5.5.a.2,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.5,Other non-cultivated biological resources,a,Permits for regulated hunting and trapping of wild animals,2,Number of animal kills allowed by permits,Number
2.5.5.b,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.5,Other non-cultivated biological resources,b,Imports of endangered species,NA,Imports of endangered species,"Currency, Number"
2.5.5.c,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.5,Other non-cultivated biological resources,c,Exports of endangered species,NA,Exports of endangered species,"Currency, Number"
2.5.5.d,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.5,Other non-cultivated biological resources,d,Reported wild animals killed or trapped for food or sale,NA,Reported wild animals killed or trapped for food or sale,Number
2.5.5.e,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.5,Other non-cultivated biological resources,e,Trade in wildlife and captive-bred species,NA,Trade in wildlife and captive-bred species,"Description, Mass, Number"
2.5.5.f,2,Environmental Resources and their Use,2.5,Biological Resources,2.5.5,Other non-cultivated biological resources,f,Non-wood forest products and other plants,NA,Non-wood forest products and other plants,"Mass, Volume"
2.6.1.a.1,2,Environmental Resources and their Use,2.6,Water Resources,2.6.1,Water resources,a,Inflow of water to inland water resources,1,Precipitation (also in 1.1.1.b),Volume
2.6.1.a.2,2,Environmental Resources and their Use,2.6,Water Resources,2.6.1,Water resources,a,Inflow of water to inland water resources,2,Inflow from neighbouring territories,Volume
2.6.1.a.3,2,Environmental Resources and their Use,2.6,Water Resources,2.6.1,Water resources,a,Inflow of water to inland water resources,3,Inflow subject to treaties,Volume
2.6.1.b.1,2,Environmental Resources and their Use,2.6,Water Resources,2.6.1,Water resources,b,Outflow of water from inland water resources,1,Evapotranspiration,Volume
2.6.1.b.2,2,Environmental Resources and their Use,2.6,Water Resources,2.6.1,Water resources,b,Outflow of water from inland water resources,2,Outflow to neighbouring territories,Volume
2.6.1.b.3,2,Environmental Resources and their Use,2.6,Water Resources,2.6.1,Water resources,b,Outflow of water from inland water resources,3,Outflow subject to treaties,Volume
2.6.1.b.4,2,Environmental Resources and their Use,2.6,Water Resources,2.6.1,Water resources,b,Outflow of water from inland water resources,4,Outflow to the sea,Volume
2.6.1.c.1,2,Environmental Resources and their Use,2.6,Water Resources,2.6.1,Water resources,c,Inland water stocks,1,Surface water stocks in artificial reservoirs,Volume
2.6.1.c.2,2,Environmental Resources and their Use,2.6,Water Resources,2.6.1,Water resources,c,Inland water stocks,2,Surface water stocks in lakes,Volume
2.6.1.c.3,2,Environmental Resources and their Use,2.6,Water Resources,2.6.1,Water resources,c,Inland water stocks,3,Surface water stocks in rivers and streams,Volume
2.6.1.c.4,2,Environmental Resources and their Use,2.6,Water Resources,2.6.1,Water resources,c,Inland water stocks,4,Surface water stocks in wetlands,Volume
2.6.1.c.5,2,Environmental Resources and their Use,2.6,Water Resources,2.6.1,Water resources,c,Inland water stocks,5,"Surface water stocks in snow, ice and glaciers",Volume
2.6.1.c.6,2,Environmental Resources and their Use,2.6,Water Resources,2.6.1,Water resources,c,Inland water stocks,6,Groundwater stocks,Volume
2.6.2.a,2,Environmental Resources and their Use,2.6,Water Resources,2.6.2,"Abstraction, use and returns of water",a,Total water abstraction,NA,Total water abstraction,Volume
2.6.2.b,2,Environmental Resources and their Use,2.6,Water Resources,2.6.2,"Abstraction, use and returns of water",b,Water abstraction from surface water,NA,Water abstraction from surface water,Volume
2.6.2.c.1,2,Environmental Resources and their Use,2.6,Water Resources,2.6.2,"Abstraction, use and returns of water",c,Water abstraction from groundwater,1,From renewable groundwater resources,Volume
2.6.2.c.2,2,Environmental Resources and their Use,2.6,Water Resources,2.6.2,"Abstraction, use and returns of water",c,Water abstraction from groundwater,2,From non-renewable groundwater resources,Volume
2.6.2.d,2,Environmental Resources and their Use,2.6,Water Resources,2.6.2,"Abstraction, use and returns of water",d,Water abstracted for own use,NA,Water abstracted for own use,Volume
2.6.2.e,2,Environmental Resources and their Use,2.6,Water Resources,2.6.2,"Abstraction, use and returns of water",e,Water abstracted for distribution,NA,Water abstracted for distribution,Volume
2.6.2.f,2,Environmental Resources and their Use,2.6,Water Resources,2.6.2,"Abstraction, use and returns of water",f,Desalinated water,NA,Desalinated water,Volume
2.6.2.g,2,Environmental Resources and their Use,2.6,Water Resources,2.6.2,"Abstraction, use and returns of water",g,Reused water,NA,Reused water,Volume
2.6.2.h,2,Environmental Resources and their Use,2.6,Water Resources,2.6.2,"Abstraction, use and returns of water",h,Water use,NA,Water use,Volume
2.6.2.i,2,Environmental Resources and their Use,2.6,Water Resources,2.6.2,"Abstraction, use and returns of water",i,Rainwater collection,NA,Rainwater collection,Volume
2.6.2.j,2,Environmental Resources and their Use,2.6,Water Resources,2.6.2,"Abstraction, use and returns of water",j,Water abstraction from the sea,NA,Water abstraction from the sea,Volume
2.6.2.k,2,Environmental Resources and their Use,2.6,Water Resources,2.6.2,"Abstraction, use and returns of water",k,Losses during transport,NA,Losses during transport,Volume
2.6.2.l,2,Environmental Resources and their Use,2.6,Water Resources,2.6.2,"Abstraction, use and returns of water",l,Exports of water,NA,Exports of water,Volume
2.6.2.m,2,Environmental Resources and their Use,2.6,Water Resources,2.6.2,"Abstraction, use and returns of water",m,Imports of water,NA,Imports of water,Volume
2.6.2.n,2,Environmental Resources and their Use,2.6,Water Resources,2.6.2,"Abstraction, use and returns of water",n,Returns of water,NA,Returns of water,Volume
3.1.1.a.1,3,Residuals,3.1,Emissions to Air,3.1.1,Emissions of greenhouse gases,a,"Total emissions of direct greenhouse gases (GHGs), by gas:",1,Carbon dioxide (CO2),Mass
3.1.1.a.2,3,Residuals,3.1,Emissions to Air,3.1.1,Emissions of greenhouse gases,a,"Total emissions of direct greenhouse gases (GHGs), by gas:",2,Methane (CH4),Mass
3.1.1.a.3,3,Residuals,3.1,Emissions to Air,3.1.1,Emissions of greenhouse gases,a,"Total emissions of direct greenhouse gases (GHGs), by gas:",3,Nitrous oxide (N2O),Mass
3.1.1.a.4,3,Residuals,3.1,Emissions to Air,3.1.1,Emissions of greenhouse gases,a,"Total emissions of direct greenhouse gases (GHGs), by gas:",4,Perfluorocarbons (PFCs),Mass
3.1.1.a.5,3,Residuals,3.1,Emissions to Air,3.1.1,Emissions of greenhouse gases,a,"Total emissions of direct greenhouse gases (GHGs), by gas:",5,Hydrofluorocarbons (HFCs),Mass
3.1.1.a.6,3,Residuals,3.1,Emissions to Air,3.1.1,Emissions of greenhouse gases,a,"Total emissions of direct greenhouse gases (GHGs), by gas:",6,Sulphur hexafluoride (SF6),Mass
3.1.1.b.1,3,Residuals,3.1,Emissions to Air,3.1.1,Emissions of greenhouse gases,b,"Total emissions of indirect greenhouse gases (GHGs), by gas:",1,Sulphur dioxide (SO2),Mass
3.1.1.b.2,3,Residuals,3.1,Emissions to Air,3.1.1,Emissions of greenhouse gases,b,"Total emissions of indirect greenhouse gases (GHGs), by gas:",2,Nitrogen oxides (NOx),Mass
3.1.1.b.3,3,Residuals,3.1,Emissions to Air,3.1.1,Emissions of greenhouse gases,b,"Total emissions of indirect greenhouse gases (GHGs), by gas:",3,Non-methane volatile organic compounds (NM-VOCs),Mass
3.1.1.b.4,3,Residuals,3.1,Emissions to Air,3.1.1,Emissions of greenhouse gases,b,"Total emissions of indirect greenhouse gases (GHGs), by gas:",4,Other,Mass
3.1.2.a.1,3,Residuals,3.1,Emissions to Air,3.1.2,Consumption of ozone depleting substances,a,"Consumption of ozone depleting substances (ODSs), by substance:",1,Chlorofluorocarbons (CFCs),Mass
3.1.2.a.2,3,Residuals,3.1,Emissions to Air,3.1.2,Consumption of ozone depleting substances,a,"Consumption of ozone depleting substances (ODSs), by substance:",2,Hydrochlorofluorocarbons (HCFCs),Mass
3.1.2.a.3,3,Residuals,3.1,Emissions to Air,3.1.2,Consumption of ozone depleting substances,a,"Consumption of ozone depleting substances (ODSs), by substance:",3,Halons,Mass
3.1.2.a.4,3,Residuals,3.1,Emissions to Air,3.1.2,Consumption of ozone depleting substances,a,"Consumption of ozone depleting substances (ODSs), by substance:",4,Methyl chloroform,Mass
3.1.2.a.5,3,Residuals,3.1,Emissions to Air,3.1.2,Consumption of ozone depleting substances,a,"Consumption of ozone depleting substances (ODSs), by substance:",5,Carbon tetrachloride,Mass
3.1.2.a.6,3,Residuals,3.1,Emissions to Air,3.1.2,Consumption of ozone depleting substances,a,"Consumption of ozone depleting substances (ODSs), by substance:",6,Methyl bromide,Mass
3.1.2.a.7,3,Residuals,3.1,Emissions to Air,3.1.2,Consumption of ozone depleting substances,a,"Consumption of ozone depleting substances (ODSs), by substance:",7,Other,Mass
3.1.3.a.1,3,Residuals,3.1,Emissions to Air,3.1.3,Emissions of other substances,a,Emissions of other substances:,1,Particulate matter (PM),Mass
3.1.3.a.2,3,Residuals,3.1,Emissions to Air,3.1.3,Emissions of other substances,a,Emissions of other substances:,2,Heavy metals,Mass
3.1.3.a.3,3,Residuals,3.1,Emissions to Air,3.1.3,Emissions of other substances,a,Emissions of other substances:,3,Other,Mass
3.2.1.a,3,Residuals,3.2,Generation and Management of Wastewater,3.2.1,Generation and pollutant content of wastewater,a,Volume of wastewater generated,NA,Volume of wastewater generated,Volume
3.2.1.b,3,Residuals,3.2,Generation and Management of Wastewater,3.2.1,Generation and pollutant content of wastewater,b,Pollutant content of wastewater,NA,Pollutant content of wastewater,Mass
3.2.2.a,3,Residuals,3.2,Generation and Management of Wastewater,3.2.2,Collection and treatment of wastewater,a,Volume of wastewater collected,NA,Volume of wastewater collected,Volume
3.2.2.b,3,Residuals,3.2,Generation and Management of Wastewater,3.2.2,Collection and treatment of wastewater,b,Volume of wastewater treated,NA,Volume of wastewater treated,Volume
3.2.2.c.1,3,Residuals,3.2,Generation and Management of Wastewater,3.2.2,Collection and treatment of wastewater,c,Total urban wastewater treatment capacity,1,Number of plants,Number
3.2.2.c.2,3,Residuals,3.2,Generation and Management of Wastewater,3.2.2,Collection and treatment of wastewater,c,Total urban wastewater treatment capacity,2,Capacity of plants,Volume
3.2.2.d.1,3,Residuals,3.2,Generation and Management of Wastewater,3.2.2,Collection and treatment of wastewater,d,Total industrial wastewater treatment capacity,1,Number of plants,Number
3.2.2.d.2,3,Residuals,3.2,Generation and Management of Wastewater,3.2.2,Collection and treatment of wastewater,d,Total industrial wastewater treatment capacity,2,Capacity of plants,Volume
3.2.3.a.1,3,Residuals,3.2,Generation and Management of Wastewater,3.2.3,Discharge of wastewater to the environment,a,Wastewater discharge,1,Total volume of wastewater discharged to the environment after treatment,Volume
3.2.3.a.2,3,Residuals,3.2,Generation and Management of Wastewater,3.2.3,Discharge of wastewater to the environment,a,Wastewater discharge,2,Total volume of wastewater discharged to the environment without treatment,Volume
3.2.3.b,3,Residuals,3.2,Generation and Management of Wastewater,3.2.3,Discharge of wastewater to the environment,b,Pollutant content of discharged wastewater,NA,Pollutant content of discharged wastewater,Mass
3.3.1.a,3,Residuals,3.3,Generation and Management of Waste,3.3.1,Generation of waste,a,Amount of waste generated by source ,NA,Amount of waste generated by source ,Mass
3.3.1.b,3,Residuals,3.3,Generation and Management of Waste,3.3.1,Generation of waste,b,Amount of waste generated by waste category,NA,Amount of waste generated by waste category,Mass
3.3.1.c,3,Residuals,3.3,Generation and Management of Waste,3.3.1,Generation of waste,c,Amount of hazardous waste generated,NA,Amount of hazardous waste generated,Mass
3.3.2.a.1,3,Residuals,3.3,Generation and Management of Waste,3.3.2,Management of waste,a,Municipal waste,1,Total municipal waste collected,Mass
3.3.2.a.2,3,Residuals,3.3,Generation and Management of Waste,3.3.2,Management of waste,a,Municipal waste,2,Amount of municipal waste treated by type of treatment and disposal,Mass
3.3.2.a.3,3,Residuals,3.3,Generation and Management of Waste,3.3.2,Management of waste,a,Municipal waste,3,Number of municipal waste treatment and disposal facilities,Number
3.3.2.a.4,3,Residuals,3.3,Generation and Management of Waste,3.3.2,Management of waste,a,Municipal waste,4,Capacity of municipal waste treatment and disposal facilities,Volume
3.3.2.b.1,3,Residuals,3.3,Generation and Management of Waste,3.3.2,Management of waste,b,Hazardous waste,1,Total hazardous waste collected,Mass
3.3.2.b.2,3,Residuals,3.3,Generation and Management of Waste,3.3.2,Management of waste,b,Hazardous waste,2,Amount of hazardous waste treated by type of treatment and disposal,Mass
3.3.2.b.3,3,Residuals,3.3,Generation and Management of Waste,3.3.2,Management of waste,b,Hazardous waste,3,Number of hazardous waste treatment and disposal facilities,Number
3.3.2.b.4,3,Residuals,3.3,Generation and Management of Waste,3.3.2,Management of waste,b,Hazardous waste,4,Capacity of hazardous waste treatment and disposal facilities,Volume
3.3.2.c.1,3,Residuals,3.3,Generation and Management of Waste,3.3.2,Management of waste,c,Other/industrial waste,1,Total other/industrial waste collected,Mass
3.3.2.c.2,3,Residuals,3.3,Generation and Management of Waste,3.3.2,Management of waste,c,Other/industrial waste,2,Amount of other/industrial waste treated by type of treatment and disposal,Mass
3.3.2.c.3,3,Residuals,3.3,Generation and Management of Waste,3.3.2,Management of waste,c,Other/industrial waste,3,Number of other/industrial treatment and disposal facilities,Number
3.3.2.c.4,3,Residuals,3.3,Generation and Management of Waste,3.3.2,Management of waste,c,Other/industrial waste,4,Capacity of other/industrial waste treatment and disposal facilities,Volume
3.3.2.d,3,Residuals,3.3,Generation and Management of Waste,3.3.2,Management of waste,d,Amount of recycled waste,NA,Amount of recycled waste,Mass
3.3.2.e,3,Residuals,3.3,Generation and Management of Waste,3.3.2,Management of waste,e,Imports of waste,NA,Imports of waste,Mass
3.3.2.f,3,Residuals,3.3,Generation and Management of Waste,3.3.2,Management of waste,f,Exports of waste,NA,Exports of waste,Mass
3.3.2.g,3,Residuals,3.3,Generation and Management of Waste,3.3.2,Management of waste,g,Imports of hazardous waste,NA,Imports of hazardous waste,Mass
3.3.2.h,3,Residuals,3.3,Generation and Management of Waste,3.3.2,Management of waste,h,Exports of hazardous waste,NA,Exports of hazardous waste,Mass
3.4.1.a.1,3,Residuals,3.4,Release of Chemical Substances,3.4.1,Release of chemical substances,a,Total amount of fertilizers used,1,Natural fertilizers (also in 2.5.1.b and 2.5.3.b),"Area, Mass, Volume"
3.4.1.a.2,3,Residuals,3.4,Release of Chemical Substances,3.4.1,Release of chemical substances,a,Total amount of fertilizers used,2,Chemical fertilizers (also in 2.5.1.b and 2.5.3.b),"Area, Mass, Volume"
3.4.1.b,3,Residuals,3.4,Release of Chemical Substances,3.4.1,Release of chemical substances,b,Total amount of pesticides used (also in 2.5.1.b and 2.5.3.b),NA,Total amount of pesticides used (also in 2.5.1.b and 2.5.3.b),"Area, Mass, Volume"
3.4.1.c,3,Residuals,3.4,Release of Chemical Substances,3.4.1,Release of chemical substances,c,Total amount of pellets used (also in 2.5.2.e),NA,Total amount of pellets used (also in 2.5.2.e),"Mass, Volume"
3.4.1.d,3,Residuals,3.4,Release of Chemical Substances,3.4.1,Release of chemical substances,d,Total amount of hormones used (also in 2.5.2.e and 2.5.4.b),NA,Total amount of hormones used (also in 2.5.2.e and 2.5.4.b),"Mass, Volume"
3.4.1.e,3,Residuals,3.4,Release of Chemical Substances,3.4.1,Release of chemical substances,e,Total amount of colourants used (also in 2.5.2.e),NA,Total amount of colourants used (also in 2.5.2.e),"Mass, Volume"
3.4.1.f,3,Residuals,3.4,Release of Chemical Substances,3.4.1,Release of chemical substances,f,Total amount of antibiotics used (also in 2.5.2.e and 2.5.4.b),NA,Total amount of antibiotics used (also in 2.5.2.e and 2.5.4.b),"Mass, Volume"
4.1.1.a.1,4,Extreme Events and Disasters,4.1,Natural Extreme Events and Disasters,4.1.1,Occurrence of natural extreme events and disasters,a,Occurrence of natural extreme events and disasters:,1,"Type of natural extreme event and disaster (geophysical, meteorological, hydrological, climatological, biological)",Description
4.1.1.a.2,4,Extreme Events and Disasters,4.1,Natural Extreme Events and Disasters,4.1.1,Occurrence of natural extreme events and disasters,a,Occurrence of natural extreme events and disasters:,2,Location,Location
4.1.1.a.3,4,Extreme Events and Disasters,4.1,Natural Extreme Events and Disasters,4.1.1,Occurrence of natural extreme events and disasters,a,Occurrence of natural extreme events and disasters:,3,Magnitude (where applicable),Intensity
4.1.1.a.4,4,Extreme Events and Disasters,4.1,Natural Extreme Events and Disasters,4.1.1,Occurrence of natural extreme events and disasters,a,Occurrence of natural extreme events and disasters:,4,Date of occurrence,Date
4.1.1.a.5,4,Extreme Events and Disasters,4.1,Natural Extreme Events and Disasters,4.1.1,Occurrence of natural extreme events and disasters,a,Occurrence of natural extreme events and disasters:,5,Duration,Time Period
4.1.2.a.1,4,Extreme Events and Disasters,4.1,Natural Extreme Events and Disasters,4.1.2,Impact of natural extreme events and disasters,a,People affected by natural extreme events and disasters,1,Number of people killed,Number
4.1.2.a.2,4,Extreme Events and Disasters,4.1,Natural Extreme Events and Disasters,4.1.2,Impact of natural extreme events and disasters,a,People affected by natural extreme events and disasters,2,Number of people injured,Number
